                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 0.6797,                0.64809,                 1.1109,                0.94729,                0.99718,                 0.9942,                0.89105,                0.51901,                0.53038,                 1.0153,             0.00046226,             0.00046226,             0.00046226
                     76,                0.71363,                0.66081,                 1.1406,                0.96071,                0.99212,                  0.995,                0.87169,                0.53515,                0.52673,                 1.0107,             0.00044576,             0.00044576,             0.00044576
                     77,                0.68693,                0.64385,                 1.1106,                0.96307,                0.99728,                  0.995,                0.86504,                0.55136,                0.53797,                 1.0197,             0.00042925,             0.00042925,             0.00042925
                     78,                0.69424,                 0.6084,                 1.1233,                  0.969,                0.99769,                  0.995,                 0.8822,                0.56408,                0.55314,                 1.0329,             0.00041275,             0.00041275,             0.00041275
                     79,                0.72991,                 0.6827,                  1.133,                0.96827,                0.99705,                  0.995,                0.86089,                0.54094,                0.54496,                 1.0276,             0.00039625,             0.00039625,             0.00039625
                     80,                0.68672,                0.65195,                 1.1118,                0.96523,                0.99676,                  0.995,                0.87394,                0.50425,                0.52453,                 1.0132,             0.00037974,             0.00037974,             0.00037974
                     81,                0.67052,                0.64126,                 1.1319,                0.96562,                0.99683,                  0.995,                0.87617,                0.48435,                0.50857,                0.99745,             0.00036324,             0.00036324,             0.00036324
                     82,                0.65483,                0.60782,                 1.1051,                0.96412,                0.99694,                  0.995,                0.86637,                0.51588,                0.50661,                 1.0006,             0.00034674,             0.00034674,             0.00034674
                     83,                0.65123,                 0.5884,                 1.1034,                0.99734,                0.96781,                  0.995,                0.87215,                0.50181,                0.50069,                0.98646,             0.00033023,             0.00033023,             0.00033023
                     84,                0.65615,                  0.611,                 1.0904,                      1,                0.96823,                  0.995,                0.87691,                0.48086,                0.48767,                0.97386,             0.00031373,             0.00031373,             0.00031373
                     85,                0.60884,                0.58079,                 1.0862,                0.98758,                0.95456,                0.99192,                0.88687,                0.46546,                0.48531,                0.96365,             0.00029723,             0.00029723,             0.00029723
                     86,                0.61263,                0.58384,                 1.0534,                      1,                0.96877,                  0.995,                0.89669,                0.45248,                0.48259,                0.94911,             0.00028072,             0.00028072,             0.00028072
                     87,                0.63854,                0.61615,                 1.0912,                0.99705,                0.96933,                  0.995,                0.89054,                0.44914,                0.46987,                0.94658,             0.00026422,             0.00026422,             0.00026422
                     88,                0.63611,                0.59068,                 1.0815,                0.98222,                0.98222,                  0.995,                0.89267,                0.46714,                0.46125,                0.95542,             0.00024772,             0.00024772,             0.00024772
                     89,                0.70408,                0.63129,                 1.1219,                0.98232,                0.98038,                  0.995,                 0.8952,                0.47876,                0.46463,                0.96053,             0.00023121,             0.00023121,             0.00023121
                     90,                0.65062,                0.57253,                 1.1045,                0.98086,                0.98862,                  0.995,                0.88783,                0.47988,                 0.4693,                0.96482,             0.00021471,             0.00021471,             0.00021471
                     91,                 0.5621,                0.80236,                 1.1141,                0.98581,                 0.9968,                  0.995,                0.88938,                0.44894,                0.48474,                0.95049,             0.00019821,             0.00019821,             0.00019821
                     92,                0.55289,                 0.6962,                 1.0883,                0.98591,                0.99659,                  0.995,                0.89491,                0.43966,                0.51665,                0.94741,              0.0001817,              0.0001817,              0.0001817
                     93,                0.47374,                0.62595,                 1.0274,                0.98339,                0.99655,                  0.995,                0.89104,                0.44953,                0.54191,                0.94935,              0.0001652,              0.0001652,              0.0001652
                     94,                0.51752,                0.67092,                 1.0113,                0.97508,                0.99612,                  0.995,                0.90059,                0.45719,                0.57707,                0.94805,              0.0001487,              0.0001487,              0.0001487
                     95,                0.49821,                0.58532,                 1.0358,                0.98159,                0.99624,                  0.995,                0.90059,                0.42852,                0.56216,                0.93114,             0.00013219,             0.00013219,             0.00013219
                     96,                0.49588,                0.58586,                  1.004,                0.98192,                0.99632,                  0.995,                0.90218,                0.40162,                0.52422,                0.91568,             0.00011569,             0.00011569,             0.00011569
                     97,                0.47609,                0.55797,                 1.0223,                0.98219,                0.99639,                  0.995,                0.90844,                0.39281,                0.50644,                0.91044,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.48065,                0.55262,                 1.0479,                0.98437,                0.99659,                  0.995,                0.90907,                0.38709,                 0.4838,                 0.9056,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.45989,                 0.5429,                 1.0257,                0.98699,                0.99675,                  0.995,                0.90714,                0.38277,                0.47052,                0.90332,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.45167,                0.51173,                0.98219,                0.98654,                0.99672,                  0.995,                0.91613,                0.37645,                0.46516,                0.90149,             4.9677e-05,             4.9677e-05,             4.9677e-05
